sld,occurrence_count,words,word_count,length,vowels,consonants,vowel_percentage
telecomitalia,59820079,"['telecom', 'italia']",2,13,7,6,53.85
googleusercontent,41394496,"['google', 'user', 'content']",3,17,7,10,41.18
barracudanetworks,26817069,"['barracuda', 'networks']",2,17,6,11,35.29
akamaitechnologies,23751429,"['kama', 'technologies']",2,18,9,9,50.0
clearwebstats,22100454,"['clear', 'web', 'stats']",3,13,4,9,30.77
btcentralplus,21661150,"['central', 'plus']",2,13,3,10,23.08
cloudflaressl,16673286,"['cloud', 'flare', 'ssl']",3,13,4,9,30.77
zendesk-staging,12581896,"['zen', 'desk', 'staging']",3,15,4,11,26.67
affiliatblogger,4744344,"['ili', 'blogger']",2,15,6,9,40.0
cloudflarestorage,3546104,"['cloud', 'flare', 'storage']",3,17,7,10,41.18
helpscoutdocs,3313754,"['help', 'scout', 'docs']",3,13,4,9,30.77
kabel-deutschland,3065271,"['abel', 'deutschland']",2,17,5,12,29.41
elisa-laajakaista,2923701,"['elisa', 'aja', 'kaist']",3,17,9,8,52.94
anyscale-test,2890496,"['any', 'scale', 'test']",3,13,4,9,30.77
absorbtraining,2514163,"['absorb', 'training']",2,14,5,9,35.71
ewe-ip-backbone,2333953,"['ewe', 'backbone']",2,15,6,9,40.0
insanejournal,2333097,"['insane', 'journal']",2,13,6,7,46.15
blogs-service,2273052,"['blogs', 'service']",2,13,4,9,30.77
designertoblog,2170695,"['designer', 'blog']",2,14,5,9,35.71
linodeusercontent,2165422,"['node', 'user', 'content']",3,17,7,10,41.18
vultrusercontent,2140571,"['vult', 'user', 'content']",3,16,5,11,31.25
interbusiness,2112098,"['inter', 'business']",2,13,5,8,38.46
omisenomikata,2045545,"['omi', 'sen', 'omi', 'kata']",4,13,7,6,53.85
play-internet,1843204,"['play', 'internet']",2,13,4,9,30.77
strikinglydns,1720358,"['strikingly', 'dns']",2,13,2,11,15.38
goodversusevil,1688078,"['good', 'versus', 'evil']",3,14,6,8,42.86
whomadeyoumirabelli,1642591,"['who', 'made', 'you', 'mirabel']",4,19,9,10,47.37
indiebloggers,1537879,"['indie', 'bloggers']",2,13,5,8,38.46
commanderselvam,1473101,"['commanders', 'elva']",2,15,5,10,33.33
universitytutor,1440590,"['university', 'tutor']",2,15,6,9,40.0
superiorjuegos,1368148,"['superior', 'juegos']",2,14,7,7,50.0
ziggozakelijk,1336073,"['zig', 'zak', 'eli']",3,13,5,8,38.46
bootcampbeijing,1289576,"['boot', 'camp', 'beijing']",3,15,6,9,40.0
morgellonssupport,1281508,"['orgel', 'lons', 'support']",3,17,5,12,29.41
websiteoutlook,1244092,"['website', 'outlook']",2,14,7,7,50.0
nationalcablenetworks,1243241,"['national', 'cable', 'networks']",3,21,8,13,38.1
dontkillmyapp,1218540,"['dont', 'kill', 'app']",3,13,3,10,23.08
brasembancara,1190039,"['bras', 'ban', 'cara']",3,13,5,8,38.46
grandenetworks,1171268,"['grande', 'networks']",2,14,4,10,28.57
insidehollywoodfilms,1163460,"['inside', 'hollywood', 'films']",3,20,7,13,35.0
downloadastro,1073250,"['download', 'astro']",2,13,5,8,38.46
reverse-mundo-r,1057883,"['reverse', 'mundo']",2,15,5,10,33.33
intercom-mail,1034733,"['intercom', 'mail']",2,13,5,8,38.46
webstatsdomain,1025040,"['web', 'stats', 'domain']",3,14,5,9,35.71
vistaprintdigital,988242,"['vista', 'print', 'digital']",3,17,6,11,35.29
rightmatching,936801,"['right', 'matching']",2,13,3,10,23.08
concursonacionalalianza,928582,"['concur', 'nacional', 'alianza']",3,23,11,12,47.83
happyvalentinesdays,926939,"['happy', 'valentines', 'days']",3,19,6,13,31.58
theenglishfaculty,909654,"['the', 'english', 'faculty']",3,17,5,12,29.41
huaweicdn-vip,899850,"['hua', 'icd', 'vip']",3,13,5,8,38.46
inclineincubator,886318,"['incline', 'incubator']",2,16,7,9,43.75
americanamusicacademy,826561,"['american', 'music', 'academy']",3,21,10,11,47.62
bigrockservers,808018,"['big', 'rock', 'servers']",3,14,4,10,28.57
beijingyourway,802840,"['beijing', 'your', 'way']",3,14,6,8,42.86
bluestreamfiber,793665,"['blue', 'stream', 'fiber']",3,15,6,9,40.0
theothersideofaids,767811,"['the', 'other', 'side', 'aids']",4,18,8,10,44.44
ceipsangabrielalmeriaandalucia,757650,"['ips', 'gabriel', 'almeria', 'and', 'lucia']",5,30,15,15,50.0
reserve-online,754231,"['reserve', 'online']",2,14,6,8,42.86
sustainable-learning,750392,"['sustainable', 'learning']",2,20,8,12,40.0
bouyguestelecom,747133,"['bouy', 'gue', 'telecom']",3,15,7,8,46.67
onecommunications,743547,"['one', 'communications']",2,17,8,9,47.06
clearlove-sjdiofio-qiui,731262,"['clear', 'love']",2,23,11,12,47.83
linn-ky-hth-333,728877,"['linn', '333']",2,15,1,14,6.67
getambassador,724092,"['get', 'ambassador']",2,13,5,8,38.46
online-rewards,721800,"['online', 'rewards']",2,14,5,9,35.71
platformdxc-mg,719802,"['platform', 'dxc']",2,14,2,12,14.29
sadecehosting,708545,"['sad', 'ece', 'hosting']",3,13,5,8,38.46
eyecatchythemes,695658,"['eye', 'catchy', 'themes']",3,15,5,10,33.33
dedicatedornot,653001,"['dedicated', 'not']",2,14,6,8,42.86
sharewarejunction,626872,"['shareware', 'junction']",2,17,7,10,41.18
stadtbranchenbuch,623986,"['stadt', 'branch', 'buch']",3,17,4,13,23.53
livederby2007,621870,"['live', 'derby', '2007']",3,13,3,10,23.08
analyticapproach,617800,"['analytic', 'approach']",2,16,6,10,37.5
awsglobalaccelerator,600972,"['global', 'accelerator']",2,20,8,12,40.0
websiteprofile,567068,"['website', 'profile']",2,14,6,8,42.86
rockfallsfiber,559643,"['rock', 'falls', 'fiber']",3,14,4,10,28.57
filemaker-cloud,556692,"['file', 'maker', 'cloud']",3,15,6,9,40.0
pissedconsumer,555729,"['pissed', 'consumer']",2,14,5,9,35.71
acuityscheduling,546489,"['acuity', 'scheduling']",2,16,6,10,37.5
azurewebsites,533103,"['azure', 'websites']",2,13,6,7,46.15
wpenginepowered,503605,"['engine', 'powered']",2,15,6,9,40.0
hllyelectronics,486981,['electronics'],1,15,4,11,26.67
foreclosureconnections,486570,"['foreclosure', 'connections']",2,22,9,13,40.91
apogeeetelecom,478954,"['apogee', 'telecom']",2,14,8,6,57.14
unbouncepages,476684,"['bounce', 'pages']",2,13,6,7,46.15
cocolog-nifty,461817,"['coco', 'log', 'nifty']",3,13,4,9,30.77
churchcenteronline,454329,"['church', 'center', 'online']",3,18,6,12,33.33
acedatacenter,447789,"['ace', 'datacenter']",2,13,6,7,46.15
blogprodesign,432423,"['blog', 'pro', 'design']",3,13,4,9,30.77
articlesblogger,431502,"['articles', 'blogger']",2,15,5,10,33.33
educationalimpactblog,426054,"['educational', 'impact', 'blog']",3,21,9,12,42.86
