word,phonotactic_probability,log_phonotactic_probability
anriulx5md9,3.0890838769560475e-67,-153.14532666359977
adv8inle,4.192331887439262e-51,-115.99858262718953
afevniltm,8.457847298378074e-46,-103.783819592944
arbn1uel,3.7563024005740016e-48,-109.20064939427411
gzbitudn,1.3489425511841903e-33,-75.68598707870844
dl45urn,8.935234265073489e-35,-78.40047588771323
aliernuv,3.5582610808867864e-50,-113.85998268459906
avfcluri,1.0053192761577725e-46,-105.91360909894794
blanjme4t9,6.229923794884296e-53,-120.20764582792066
drfnziumet,7.939645483343388e-43,-96.93929037393471
amenzlfrt,8.756193882943906e-35,-78.42071693250908
anicblfu,1.564213145184727e-44,-100.86636117681303
adisfn54zt,1.4115160882234695e-55,-126.29751574806399
az9svuien,6.391341752267337e-58,-131.69499117042662
aimulz8e,3.7833758850558517e-56,-127.61414850531918
eganimvu5,3.9807177365237086e-62,-141.37881362678306
gitzeuqxf,1.732612272141435e-45,-103.06669893120495
aefvil5n,4.9646718957269425e-51,-115.82949253082148
klifepj5,5.53388683102189e-43,-97.30026856734946
emfix45d2,1.4072087091776737e-62,-142.41866766219678
hlderqa,2.2667126702240547e-33,-75.16697744980843
alenm452,2.1728859121667843e-57,-130.47129410321892
getvw9m,3.325876602986237e-33,-74.78357478944675
aircmzvk,5.921253037777253e-34,-76.50934507351214
elchunvardf,2.0053174347513213e-49,-112.13086718690951
itlank4vm,1.0839058864155852e-46,-105.8383431991276
glfbu1i4n,3.108594433308038e-45,-102.48215851140623
anz5eur,7.626172002690382e-45,-101.58474316877916
civ84fmn,5.705663248931616e-40,-90.36194448572373
alevirtz4,7.988461693797647e-55,-124.56418190236687
an5iuym4xd,2.8409496126781545e-63,-144.01872249167985
kdnipmrfx,7.867194624883466e-31,-69.31743634837132
dntaic5lkmx,9.878089148773462e-47,-105.93118028366031
coflixrt,4.111055104206783e-34,-76.8742134498834
atrcewvf,4.466022899996873e-38,-86.00173525273863
jolaimfx,1.6661479528595328e-41,-93.89547446571574
dezinvut,7.834059611343964e-42,-94.65009306122403
aeviun1rx,4.527153828809997e-58,-132.03984194547994
afbp5r4m,2.7238164916624276e-46,-104.91688025893923
agb5vn1,8.452402906595582e-44,-99.1792933231493
adbitzn,9.072020387527552e-34,-76.08269816751226
cointblare,1.7810234308975006e-52,-119.15723667543486
aercu49,3.539832421574245e-52,-118.47034544820355
ahnvmiqf5,1.2521555411842712e-49,-112.60180305757402
adtuv4ilm,2.8342962835464608e-52,-118.69263115382206
einswzr,2.823576539794609e-33,-74.94730371091387
aprum5be4,3.615276463786598e-60,-136.86993725011345
afzeuxtvm,1.7980478813298032e-46,-105.33221271170322
nomasdfi,5.944516451614525e-45,-101.83385999488397
elmunkfarg,5.100854023054515e-48,-108.89467648250213
dminevaf4,1.9897936055242172e-53,-121.34897901114385
alciunxvd,6.137851931091846e-45,-101.8018543521406
agnef5rk,6.55307280827482e-43,-97.13122492807004
aersnwpl59,6.00828372465652e-54,-122.54645588385489
dtanmeki41,5.82302713192539e-61,-138.69587042035158
amberkz,5.4282993736283006e-33,-74.29368217477251
lidempr,8.047180835609602e-31,-69.29481605947822
artginvu,1.567273264402447e-44,-100.86440675658471
lobanqite,2.1569650299343785e-54,-123.57089286676523
alfbi05u,3.966765115360776e-55,-125.26422918453261
adzfrunmx,8.727190107039123e-39,-87.6343751750449
alniue5fr,1.2790043324762133e-55,-126.3960982046881
dlmai5n4x,1.773257569365556e-48,-109.95126617398343
adrulvkn,1.3128745069422124e-35,-80.31825924138664
abvufnl,2.0050116962894066e-34,-77.59224326749523
aglinrq1v,1.7632183991940815e-45,-103.04918840969543
armbui,2.387939677360247e-37,-84.32521750630531
cipu4nxf,3.5620169938949087e-41,-93.13566185701407
parionev,8.530798209687643e-49,-110.68298662283149
advisrum49,5.154103202003032e-64,-145.7256528159177
apnim4zreu,3.4110845436095094e-65,-148.44100075590475
grapimnu,3.480169738000847e-43,-97.76407793085946
apcfrin4,3.0435560595395006e-45,-102.50330259651844
ardwfinx,3.369823918261516e-37,-83.98078794755452
bmniaferq,1.5721568164773658e-42,-96.25612546068935
antimfvu,1.0237843872282555e-45,-103.59282323963288
linectzv5fm,7.422510520563533e-50,-113.12473730465936
dreciul,1.7525784206991784e-37,-84.63456035395171
adeuxfbnl,1.6498443285264436e-46,-105.41823334061212
bafus4z5,1.7475257129705105e-51,-116.87363883353254
adiuf4mel,8.492032913883959e-60,-136.01597715993972
gladif1ekm,6.522836080873504e-52,-117.85911557259988
dfzi1ltn,1.2106318220100715e-32,-73.49158058553206
agent8mw5b,4.259792516239195e-56,-127.49554475367958
andew1il4,4.5969783626007674e-60,-136.62970636968186
aetiund5891,4.186433108362453e-80,-182.77495835492698
aficumne,6.764369626551099e-54,-122.42792594598629
flenvmiu4a,2.760053040588086e-57,-130.23210040351182
adfnev8j,1.9072017549052614e-44,-100.66810697370207
crian8vw,2.987948840422979e-42,-95.61398676030498
afm9ni5l,2.1366868493348706e-50,-114.36999822161587
artbx51nf,3.5502178425754746e-45,-102.34932021902166
inpalvu,7.382568764294225e-43,-97.01203734965168
avenjxl5i4,7.932835093606104e-62,-140.6892652789207
mingf5l,9.479793625222086e-33,-73.73614552226488
teidnrj4,1.6004605473172054e-41,-93.93569738285547
ainvelr5,2.309668534903873e-51,-116.5947357198421
almixbrut,1.0695332240271847e-45,-103.54910687066518
eidmq4nlu,6.68645118757315e-54,-122.43951175352049
av5puein8,5.7599380387266735e-67,-152.52227451311663
alebimudn,3.6588052805126433e-54,-123.04245835364323
advpu51i9,5.519551963772821e-64,-145.65714926060724
apilerkvn,1.6030109423049596e-46,-105.4470305779804
domci5nr8au,1.5677258106607326e-68,-156.1261602826077
azenu4fki,3.451972992990164e-62,-141.52132981602364
admun5krfiv,6.902297359906613e-58,-131.61808108675612
entmiav9,1.7877073941145055e-49,-112.24573554317311
lindefvzm,7.779066138475807e-37,-83.14421214340894
afm9l0ie,1.743508865512955e-57,-130.6914506286458
apinmku5zqf,4.503450996784807e-58,-132.04509140261246
ajmi5q84vf,6.911831857557841e-62,-140.82704106058847
aemuxnfr,8.537398856259817e-42,-94.56411752792057
antfiedm,1.515353957748727e-40,-91.6877546726113
adelfm5nvu,1.6552694095181632e-57,-130.7433865198723
gmznlxu9i,5.5464514481026926e-42,-94.99541556120155
amexinkqw,1.915766550997614e-50,-114.47913681943622
anrixbe5m9,6.953568975761784e-65,-147.72877599515107
abguvil,1.4400172174889195e-42,-96.34391883564396
emanl4dz,8.849122619722823e-43,-96.8308406836531
bican14tf,3.3986756547517845e-51,-116.20845390026253
anl9x5i8,1.4450663025659623e-58,-133.1817801890142
anixmrzl,7.443950916728285e-37,-83.18824669569038
bmwflie,4.479539097301268e-33,-74.48578790773581
alfutbeimz,1.5077757044632009e-52,-119.32378931426044
beatdzv,1.1449466686195253e-30,-68.94219473152481
aldijnke,3.1848003682706056e-45,-102.45793957639427
prtumfi,2.443851178139466e-31,-70.48656273610173
anfizlrm,1.5324376705037044e-35,-80.16361853856621
avnf52ru,7.64657777790854e-51,-115.39758154424143
anzusk4v,2.525091011566554e-42,-95.7822967994874
conlfit15,1.878956441171233e-51,-116.80112320445429
crebpiu,2.0938440602354913e-39,-89.06181698689403
avd4cnm,6.235782375963452e-34,-76.45758910922838
cranif5dp41,1.2314041844256948e-63,-144.85470572703133
advir5,7.89390799739614e-41,-92.33989749033407
piefl4na,7.056403537685354e-49,-110.87273404892403
clzn5iwvrt,1.8290591060369463e-35,-79.98667656986514
gldfinr,5.360296668400636e-23,-51.28043781672981
abvin95z,7.114898961446255e-50,-113.16706361904187
alenkbf4ir,4.819439770137831e-56,-127.37210751662117
anev54ru,2.471310420492811e-59,-134.94777194208007
aminvfe8t9,4.854561650174628e-65,-148.08811223527246
aftumerin,9.819877009343917e-54,-122.05518642389725
afnyli4,2.5544905032959402e-42,-95.77072111360525
adnsl8xv,8.963728299751531e-37,-83.0024621954575
aprwlvum,2.3898574235165434e-36,-82.02182963905409
anizekr,1.0402410489201799e-41,-94.36653634865105
aeismfrv,1.6312351021566242e-38,-87.00889607450412
bandtfu8,1.1220232841256783e-40,-91.98827016053647
rndivk41m,7.648256810356775e-42,-94.67409615180453
afvu84l,1.499840581099524e-46,-105.51355545453296
andrfvl,6.330006301646141e-25,-55.719326093174836
aetnxwri,2.676151158543351e-45,-102.63194955731126
baev4dli,1.1116910833683638e-48,-110.41820210920642
arvuk4f,4.6144293197730467e-42,-95.17938570312866
advni45q,4.5343013138381464e-48,-109.01241345732218
agf9l4m,1.4585440317688152e-42,-96.33113520611734
antpl4urmi,1.0405269844202646e-53,-121.99728262807952
anfeci4vt,2.8579531406855768e-52,-118.68431915215841
lensfui9,1.6035149768069291e-46,-105.44671619754573
aldiek4n,5.548672484904231e-49,-111.11311084946999
ativek9lnm,3.4419731260580656e-57,-130.01130541055483
aliznvj,1.4316570210712283e-35,-80.23164572536547
alfure5dkz,1.0624160445405338e-54,-124.27904941988706
ahig2ulm,8.04398375064696e-49,-110.74174510485868
admisbfu9,3.6643538728268074e-54,-123.04094299851855
al4u5ftn8,5.84081900656034e-59,-134.08764945879201
adiutlf9,2.565601247956538e-50,-114.18706179388661
adnsverm4,1.6911965669364185e-46,-105.3934779715515
ag7uirl,8.900267965914499e-45,-101.4302477999175
brwal8f,3.959658566042002e-31,-70.00398008196271
aequin,4.317804081369959e-43,-97.54841204022125
artb5nvq,4.9355629679903565e-36,-81.29659660481265
abnpiluk,4.4091825822834664e-45,-102.13263986794503
arhiven591,2.368415907191453e-69,-158.0161500785068
azilenmut,1.4894090354595244e-54,-123.94121560089278
azfnvi51,8.893153445160903e-50,-112.94397294483329
abminule,1.9207290067887597e-54,-123.68689021666736
arif8x1nl,1.6848317077974055e-55,-126.12051443253429
adreni5k,1.3138725786903503e-49,-112.55369061342527
johneilf4t,1.1790572758786777e-53,-121.87229472825939
alfwqirx,1.093868992676308e-38,-87.40851258769756
ameuvrn5,1.0414046165366536e-50,-115.08868425495541
ft5v1ui,2.8003662395302123e-44,-100.28399388327819
aev9xf45,1.8640313363458857e-57,-130.62460877319415
ahmil8ftn,9.45972506315622e-47,-105.97445605117001
anic5mlfx,1.168710592721689e-47,-108.06559828712521
anbevmirut,1.127829840063619e-56,-128.82446991697728
elabifxp,4.4088194713220696e-45,-102.13272222468738
altif51,2.8034496457332424e-48,-109.49323378850909
avir2fn,1.4669158615707626e-41,-94.02282666931566
elidavbz49,1.3003228512217963e-64,-147.10283337089078
denvxira1tf,1.6086398560180076e-57,-130.77196128864395
anivem45t,7.412573168365416e-60,-136.15192794442456
adrumvexn,5.473530358928631e-47,-106.52157555864366
atrilenmud,1.076442388555266e-55,-126.56851859564856
myanid4ef,6.207623486297064e-50,-113.30347651841949
arheinf,1.3004342135066848e-39,-89.53812040767959
alicefnmu,2.0311739350164612e-56,-128.23615128864833
aifn24v,3.94159672388238e-46,-104.54732837664324
drevmi4na,5.4162856046225105e-52,-118.04501456797325
agnivextd,1.3079885593442527e-45,-103.347838678414
albexn19d,1.41383775128384e-52,-119.38811701929481
afdbn9eu,1.6766397425396552e-50,-114.61246301251512
artinl85xm,7.704008774340715e-55,-124.60043930124422
amniurd,3.298561709766213e-39,-88.607332098829
gia5f4unl,1.690695534181176e-53,-121.5118699257294
amendul4r,5.546802693699792e-54,-122.6263733511497
cdisrlkme,4.209039842982892e-38,-86.0609989778902
afnm9riv,7.466325860984963e-45,-101.60592615919896
apel4rfutn,4.704666772163711e-56,-127.39621026133212
atmbi5v,8.055977309575482e-39,-87.71440428794244
alipdnkt,1.3399804922901456e-35,-80.29782319892718
artsbud,2.4901921647019796e-31,-70.4677780007375
ariumw8n9,5.082912149298017e-62,-141.13439141055406
tedfni1k4,4.515755195789664e-53,-120.5294374920617
amfuxnerv,1.111929465252432e-47,-108.11540260743195
atdwnmle,9.774511185059075e-40,-89.82362562178434
gemc2ln,1.5944894482391116e-32,-73.21616938596193
afdnirv,2.931282746950539e-35,-79.51503812997399
dtcnevi,3.878956980670572e-34,-76.93232686371559
rtaniml2qf,1.6727641461212945e-47,-107.70702193526968
adnisu5mfle,1.084883313741947e-65,-149.58655860834222
afvxn5ir,7.723102565233266e-46,-103.874698107736
cpanerd,7.415602073915931e-32,-71.67913680676386
anvu94l,7.195727344947716e-45,-101.64284175916876
a75uvflx,2.2759252168720537e-46,-105.09652761926367
penlit4fad,1.381118879947845e-54,-124.01670106844509
artvx8f,3.42883925755087e-36,-81.6608415527583
atrive1u,1.261158243278518e-55,-126.41014957525488
atli5kn8u,2.6936480858060875e-59,-134.86162404606995
arbwnkexlmf,1.782019859582014e-44,-100.73599661820491
arcinxb4,1.064178331271563e-45,-103.55412620327814
anvu8e,4.798216736233374e-44,-99.74549975613704
afvuxnled,2.4568679114483863e-48,-109.62519713171454
tomi5lx9,5.0019177884387e-51,-115.82201834611394
alicme94,3.6004855944919217e-57,-129.96628157693615
blivca5e,2.9166807826876365e-47,-107.15105311925183
alef9nvm,1.275913526993927e-44,-101.07008167792536
midvf4znek,1.5863518735521343e-48,-110.06264750284443
abdvfu5rm,4.238948194302444e-45,-102.17201401364349
alfrin,3.595805903468381e-30,-67.79778465034494
afde14q,3.5062446746957185e-46,-104.66436870624175
rintzlv,2.343144151868284e-23,-52.107963456744976
ainsfe5u,1.451777281486566e-53,-121.66422141145281
