Episode 1/10000, Avg Reward: 798.59, Explained Var: -0.00
Episode 2/10000, Avg Reward: 25.46, Explained Var: -0.00
Episode 3/10000, Avg Reward: 29.02, Explained Var: 0.01
Episode 4/10000, Avg Reward: 423.08, Explained Var: 0.00
Episode 5/10000, Avg Reward: 320.67, Explained Var: 0.00
Episode 6/10000, Avg Reward: 67.82, Explained Var: -0.00
Episode 7/10000, Avg Reward: 484.54, Explained Var: 0.00
Episode 8/10000, Avg Reward: 213.77, Explained Var: -0.00
Episode 9/10000, Avg Reward: 476.23, Explained Var: 0.00
Episode 10/10000, Avg Reward: 203.83, Explained Var: -0.00
Episode 11/10000, Avg Reward: 694.16, Explained Var: -0.00
Episode 12/10000, Avg Reward: 393.60, Explained Var: 0.00
Episode 13/10000, Avg Reward: 453.23, Explained Var: 0.00
Episode 14/10000, Avg Reward: 424.44, Explained Var: -0.00
Episode 15/10000, Avg Reward: 326.70, Explained Var: 0.00
Episode 16/10000, Avg Reward: 423.86, Explained Var: 0.00
Episode 17/10000, Avg Reward: 406.74, Explained Var: -0.00
Episode 18/10000, Avg Reward: 330.21, Explained Var: -0.00
Episode 19/10000, Avg Reward: 97.09, Explained Var: -0.00
Episode 20/10000, Avg Reward: 407.69, Explained Var: -0.00
Episode 21/10000, Avg Reward: 509.96, Explained Var: 0.00
Episode 22/10000, Avg Reward: 32.31, Explained Var: -0.00
Episode 23/10000, Avg Reward: 211.26, Explained Var: -0.00
Episode 24/10000, Avg Reward: 19.23, Explained Var: -0.02
Episode 25/10000, Avg Reward: 372.86, Explained Var: 0.00
Episode 26/10000, Avg Reward: 131.24, Explained Var: -0.00
Episode 27/10000, Avg Reward: 258.08, Explained Var: -0.00
Episode 28/10000, Avg Reward: 43.89, Explained Var: -0.01
Episode 29/10000, Avg Reward: 681.83, Explained Var: -0.00
Episode 30/10000, Avg Reward: 362.89, Explained Var: -0.00
Episode 31/10000, Avg Reward: 419.45, Explained Var: -0.00
Episode 32/10000, Avg Reward: 112.30, Explained Var: -0.00
Episode 33/10000, Avg Reward: 746.67, Explained Var: -0.00
Episode 34/10000, Avg Reward: 40.17, Explained Var: -0.01
Episode 35/10000, Avg Reward: 205.38, Explained Var: -0.00
Episode 36/10000, Avg Reward: 123.48, Explained Var: -0.00
Episode 37/10000, Avg Reward: 760.33, Explained Var: 0.00
Episode 38/10000, Avg Reward: 934.91, Explained Var: -0.00
Episode 39/10000, Avg Reward: 295.25, Explained Var: 0.00
Episode 40/10000, Avg Reward: 33.55, Explained Var: -0.01
Episode 41/10000, Avg Reward: 351.70, Explained Var: -0.00
Episode 42/10000, Avg Reward: 264.57, Explained Var: -0.00
Episode 43/10000, Avg Reward: 49.16, Explained Var: -0.01
Episode 44/10000, Avg Reward: 552.70, Explained Var: -0.00
Episode 45/10000, Avg Reward: 194.45, Explained Var: -0.00
Episode 46/10000, Avg Reward: 22.23, Explained Var: -0.01
Episode 47/10000, Avg Reward: 391.60, Explained Var: 0.00
Episode 48/10000, Avg Reward: 129.42, Explained Var: -0.00
Episode 49/10000, Avg Reward: 32.73, Explained Var: -0.01
Episode 50/10000, Avg Reward: 411.35, Explained Var: 0.00
Episode 51/10000, Avg Reward: 403.90, Explained Var: -0.00
Episode 52/10000, Avg Reward: 482.97, Explained Var: 0.00
Episode 53/10000, Avg Reward: 205.37, Explained Var: -0.00
Episode 54/10000, Avg Reward: 245.86, Explained Var: -0.00
Episode 55/10000, Avg Reward: 19.16, Explained Var: -0.01
Episode 56/10000, Avg Reward: 993.35, Explained Var: 0.00
Episode 57/10000, Avg Reward: 39.37, Explained Var: 0.00
Episode 58/10000, Avg Reward: 599.75, Explained Var: 0.00
Episode 59/10000, Avg Reward: 260.84, Explained Var: 0.00
Episode 60/10000, Avg Reward: 29.22, Explained Var: -0.00
Episode 61/10000, Avg Reward: 121.40, Explained Var: 0.00
Episode 62/10000, Avg Reward: 140.79, Explained Var: 0.00
Episode 63/10000, Avg Reward: 997.72, Explained Var: -0.00
Episode 64/10000, Avg Reward: 509.91, Explained Var: 0.00
Episode 65/10000, Avg Reward: 206.24, Explained Var: -0.00
Episode 66/10000, Avg Reward: 121.52, Explained Var: -0.00
Episode 67/10000, Avg Reward: 289.82, Explained Var: 0.00
Episode 68/10000, Avg Reward: 604.88, Explained Var: 0.00
Episode 69/10000, Avg Reward: 352.90, Explained Var: -0.00
Episode 70/10000, Avg Reward: 263.95, Explained Var: 0.00
Episode 71/10000, Avg Reward: 22.18, Explained Var: -0.01
Episode 72/10000, Avg Reward: 484.18, Explained Var: 0.00
Episode 73/10000, Avg Reward: 677.94, Explained Var: 0.00
Episode 74/10000, Avg Reward: 34.69, Explained Var: 0.01
Episode 75/10000, Avg Reward: 36.36, Explained Var: 0.02
Episode 76/10000, Avg Reward: 437.30, Explained Var: 0.00
Episode 77/10000, Avg Reward: 24.92, Explained Var: -0.01
Episode 78/10000, Avg Reward: 1117.36, Explained Var: 0.00
Episode 79/10000, Avg Reward: 535.79, Explained Var: 0.00
Episode 80/10000, Avg Reward: 35.99, Explained Var: -0.01
Episode 81/10000, Avg Reward: 204.67, Explained Var: 0.00
Episode 82/10000, Avg Reward: 424.61, Explained Var: 0.00
Episode 83/10000, Avg Reward: 264.05, Explained Var: 0.00
Episode 84/10000, Avg Reward: 25.93, Explained Var: -0.01
Episode 85/10000, Avg Reward: 369.44, Explained Var: 0.00
Episode 86/10000, Avg Reward: 126.24, Explained Var: 0.00
Episode 87/10000, Avg Reward: 482.00, Explained Var: 0.00
Episode 88/10000, Avg Reward: 418.46, Explained Var: 0.00
Episode 89/10000, Avg Reward: 599.39, Explained Var: 0.00
Episode 90/10000, Avg Reward: 280.96, Explained Var: 0.00
Episode 91/10000, Avg Reward: 701.38, Explained Var: 0.00
Episode 92/10000, Avg Reward: 286.87, Explained Var: 0.00
Episode 93/10000, Avg Reward: 162.39, Explained Var: 0.01
Episode 94/10000, Avg Reward: 38.07, Explained Var: 0.02
Episode 95/10000, Avg Reward: 354.76, Explained Var: 0.00
Episode 96/10000, Avg Reward: 98.06, Explained Var: 0.00
Episode 97/10000, Avg Reward: 31.26, Explained Var: 0.01
Episode 98/10000, Avg Reward: 24.03, Explained Var: 0.02
Episode 99/10000, Avg Reward: 129.62, Explained Var: 0.00
Episode 100/10000, Avg Reward: 692.76, Explained Var: 0.00
Episode 101/10000, Avg Reward: 425.40, Explained Var: 0.00
Episode 102/10000, Avg Reward: 553.54, Explained Var: 0.00
Episode 103/10000, Avg Reward: 125.63, Explained Var: 0.01
Episode 104/10000, Avg Reward: 268.06, Explained Var: 0.00
Episode 105/10000, Avg Reward: 676.79, Explained Var: 0.00
Episode 106/10000, Avg Reward: 508.97, Explained Var: 0.00
Episode 107/10000, Avg Reward: 419.52, Explained Var: 0.00
Episode 108/10000, Avg Reward: 346.82, Explained Var: 0.00
Episode 109/10000, Avg Reward: 26.60, Explained Var: 0.02
Episode 110/10000, Avg Reward: 602.49, Explained Var: 0.01
Episode 111/10000, Avg Reward: 357.97, Explained Var: 0.00
Episode 112/10000, Avg Reward: 258.07, Explained Var: 0.00
Episode 113/10000, Avg Reward: 283.68, Explained Var: 0.00
Episode 114/10000, Avg Reward: 695.49, Explained Var: 0.00
Episode 115/10000, Avg Reward: 575.13, Explained Var: 0.00
Episode 116/10000, Avg Reward: 484.45, Explained Var: 0.00
Episode 117/10000, Avg Reward: 257.79, Explained Var: 0.01
Episode 118/10000, Avg Reward: 412.03, Explained Var: 0.00
Episode 119/10000, Avg Reward: 65.44, Explained Var: 0.01
Episode 120/10000, Avg Reward: 171.48, Explained Var: 0.00
Episode 121/10000, Avg Reward: 25.53, Explained Var: 0.04
Episode 122/10000, Avg Reward: 699.95, Explained Var: 0.00
Episode 123/10000, Avg Reward: 119.29, Explained Var: 0.01
Episode 124/10000, Avg Reward: 46.40, Explained Var: 0.02
Episode 125/10000, Avg Reward: 424.89, Explained Var: 0.00
Episode 126/10000, Avg Reward: 32.30, Explained Var: 0.02
Episode 127/10000, Avg Reward: 446.87, Explained Var: 0.00
Episode 128/10000, Avg Reward: 35.40, Explained Var: 0.00
