Episode 1/10000, Avg Reward: 110.76, Explained Var: -0.00
Episode 2/10000, Avg Reward: 627.27, Explained Var: 0.00
Episode 3/10000, Avg Reward: 131.31, Explained Var: 0.00
Episode 4/10000, Avg Reward: 747.83, Explained Var: 0.00
Episode 5/10000, Avg Reward: 38.70, Explained Var: 0.00
Episode 6/10000, Avg Reward: 26.84, Explained Var: 0.00
Episode 7/10000, Avg Reward: 663.32, Explained Var: 0.00
Episode 8/10000, Avg Reward: 857.03, Explained Var: 0.00
Episode 9/10000, Avg Reward: 300.92, Explained Var: -0.00
Episode 10/10000, Avg Reward: 25.04, Explained Var: -0.00
Episode 11/10000, Avg Reward: 368.28, Explained Var: 0.00
Episode 12/10000, Avg Reward: 29.34, Explained Var: -0.00
Episode 13/10000, Avg Reward: 623.42, Explained Var: 0.00
Episode 14/10000, Avg Reward: 19.07, Explained Var: -0.01
Episode 15/10000, Avg Reward: 751.26, Explained Var: 0.00
Episode 16/10000, Avg Reward: 434.43, Explained Var: -0.00
Episode 17/10000, Avg Reward: 311.68, Explained Var: -0.00
Episode 18/10000, Avg Reward: 568.35, Explained Var: -0.00
Episode 19/10000, Avg Reward: 30.00, Explained Var: -0.01
Episode 20/10000, Avg Reward: 23.85, Explained Var: -0.01
Episode 21/10000, Avg Reward: 195.87, Explained Var: 0.00
Episode 22/10000, Avg Reward: 360.71, Explained Var: 0.00
Episode 23/10000, Avg Reward: 685.33, Explained Var: -0.00
Episode 24/10000, Avg Reward: 243.90, Explained Var: 0.00
Episode 25/10000, Avg Reward: 41.29, Explained Var: -0.00
Episode 26/10000, Avg Reward: 23.69, Explained Var: -0.01
Episode 27/10000, Avg Reward: 31.13, Explained Var: -0.01
Episode 28/10000, Avg Reward: 32.17, Explained Var: -0.01
Episode 29/10000, Avg Reward: 316.69, Explained Var: -0.00
Episode 30/10000, Avg Reward: 135.16, Explained Var: -0.00
Episode 31/10000, Avg Reward: 29.79, Explained Var: -0.00
Episode 32/10000, Avg Reward: 603.64, Explained Var: -0.00
Episode 33/10000, Avg Reward: 774.71, Explained Var: 0.00
Episode 34/10000, Avg Reward: 109.62, Explained Var: -0.00
Episode 35/10000, Avg Reward: 275.19, Explained Var: -0.00
Episode 36/10000, Avg Reward: 353.62, Explained Var: 0.00
Episode 37/10000, Avg Reward: 137.48, Explained Var: -0.00
Episode 38/10000, Avg Reward: 413.30, Explained Var: -0.00
Episode 39/10000, Avg Reward: 105.14, Explained Var: -0.00
Episode 40/10000, Avg Reward: 19.01, Explained Var: -0.02
Episode 41/10000, Avg Reward: 143.96, Explained Var: -0.00
Episode 42/10000, Avg Reward: 26.25, Explained Var: -0.00
Episode 43/10000, Avg Reward: 417.82, Explained Var: 0.00
Episode 44/10000, Avg Reward: 393.08, Explained Var: -0.00
Episode 45/10000, Avg Reward: 467.60, Explained Var: 0.00
Episode 46/10000, Avg Reward: 48.05, Explained Var: -0.01
Episode 47/10000, Avg Reward: 25.36, Explained Var: -0.02
Episode 48/10000, Avg Reward: 390.13, Explained Var: -0.00
Episode 49/10000, Avg Reward: 40.34, Explained Var: -0.00
Episode 50/10000, Avg Reward: 28.35, Explained Var: -0.02
Episode 51/10000, Avg Reward: 174.91, Explained Var: 0.00
Episode 52/10000, Avg Reward: 38.92, Explained Var: -0.01
Episode 53/10000, Avg Reward: 552.28, Explained Var: -0.00
Episode 54/10000, Avg Reward: 552.61, Explained Var: -0.00
Episode 55/10000, Avg Reward: 102.64, Explained Var: -0.00
Episode 56/10000, Avg Reward: 464.68, Explained Var: 0.00
Episode 57/10000, Avg Reward: 484.36, Explained Var: 0.00
Episode 58/10000, Avg Reward: 245.21, Explained Var: -0.00
Episode 59/10000, Avg Reward: 949.66, Explained Var: 0.00
Episode 60/10000, Avg Reward: 260.93, Explained Var: -0.00
Episode 61/10000, Avg Reward: 122.21, Explained Var: 0.00
Episode 62/10000, Avg Reward: 412.88, Explained Var: 0.00
Episode 63/10000, Avg Reward: 211.74, Explained Var: -0.00
Episode 64/10000, Avg Reward: 61.18, Explained Var: -0.00
Episode 65/10000, Avg Reward: 38.62, Explained Var: 0.00
Episode 66/10000, Avg Reward: 348.27, Explained Var: -0.00
Episode 67/10000, Avg Reward: 26.85, Explained Var: -0.02
Episode 68/10000, Avg Reward: 107.69, Explained Var: -0.00
Episode 69/10000, Avg Reward: 158.00, Explained Var: -0.00
Episode 70/10000, Avg Reward: 30.85, Explained Var: -0.00
Episode 71/10000, Avg Reward: 194.77, Explained Var: 0.00
Episode 72/10000, Avg Reward: 753.06, Explained Var: 0.00
Episode 73/10000, Avg Reward: 76.58, Explained Var: 0.00
Episode 74/10000, Avg Reward: 608.53, Explained Var: 0.00
Episode 75/10000, Avg Reward: 94.23, Explained Var: -0.00
Episode 76/10000, Avg Reward: 40.19, Explained Var: -0.00
Episode 77/10000, Avg Reward: 164.61, Explained Var: 0.00
Episode 78/10000, Avg Reward: 114.63, Explained Var: -0.00
Episode 79/10000, Avg Reward: 413.56, Explained Var: 0.00
Episode 80/10000, Avg Reward: 62.52, Explained Var: 0.00
Episode 81/10000, Avg Reward: 319.89, Explained Var: -0.00
Episode 82/10000, Avg Reward: 25.23, Explained Var: -0.01
Episode 83/10000, Avg Reward: 60.02, Explained Var: 0.01
