Episode 1/10000, Avg Reward: 174.77, Explained Var: -0.00
Episode 2/10000, Avg Reward: 421.67, Explained Var: -0.00
Episode 3/10000, Avg Reward: 99.19, Explained Var: -0.00
Episode 4/10000, Avg Reward: 758.96, Explained Var: -0.00
Episode 5/10000, Avg Reward: 245.21, Explained Var: -0.00
Episode 6/10000, Avg Reward: 366.86, Explained Var: 0.00
Episode 7/10000, Avg Reward: 634.09, Explained Var: -0.00
Episode 8/10000, Avg Reward: 585.79, Explained Var: -0.00
Episode 9/10000, Avg Reward: 404.60, Explained Var: -0.00
Episode 10/10000, Avg Reward: 813.25, Explained Var: -0.00
Episode 11/10000, Avg Reward: 862.48, Explained Var: -0.00
Episode 12/10000, Avg Reward: 500.53, Explained Var: -0.00
Episode 13/10000, Avg Reward: 113.40, Explained Var: -0.00
Episode 14/10000, Avg Reward: 1120.34, Explained Var: -0.00
Episode 15/10000, Avg Reward: 405.46, Explained Var: -0.00
Episode 16/10000, Avg Reward: 313.67, Explained Var: -0.00
Episode 17/10000, Avg Reward: 1094.51, Explained Var: -0.00
Episode 18/10000, Avg Reward: 463.27, Explained Var: -0.00
Episode 19/10000, Avg Reward: 727.06, Explained Var: -0.00
Episode 20/10000, Avg Reward: 581.89, Explained Var: -0.00
Episode 21/10000, Avg Reward: 536.14, Explained Var: -0.00
Episode 22/10000, Avg Reward: 329.57, Explained Var: -0.00
Episode 23/10000, Avg Reward: 407.97, Explained Var: -0.00
Episode 24/10000, Avg Reward: 860.12, Explained Var: -0.00
Episode 25/10000, Avg Reward: 634.80, Explained Var: 0.00
Episode 26/10000, Avg Reward: 581.46, Explained Var: -0.00
Episode 27/10000, Avg Reward: 417.46, Explained Var: -0.00
Episode 28/10000, Avg Reward: 207.06, Explained Var: -0.00
Episode 29/10000, Avg Reward: 804.41, Explained Var: -0.00
Episode 30/10000, Avg Reward: 102.45, Explained Var: -0.01
Episode 31/10000, Avg Reward: 507.25, Explained Var: -0.00
Episode 32/10000, Avg Reward: 2548.13, Explained Var: -0.00
Episode 33/10000, Avg Reward: 512.14, Explained Var: -0.00
Episode 34/10000, Avg Reward: 764.54, Explained Var: -0.00
Episode 35/10000, Avg Reward: 508.34, Explained Var: -0.00
Episode 36/10000, Avg Reward: 298.18, Explained Var: -0.00
Episode 37/10000, Avg Reward: 134.03, Explained Var: -0.00
