Episode 1/10000, Avg Reward: 699.96, Explained Var: 0.00
Episode 2/10000, Avg Reward: 95.54, Explained Var: 0.00
Episode 3/10000, Avg Reward: 570.20, Explained Var: 0.00
Episode 4/10000, Avg Reward: 406.41, Explained Var: -0.00
Episode 5/10000, Avg Reward: 151.47, Explained Var: -0.00
Episode 6/10000, Avg Reward: 417.70, Explained Var: 0.00
Episode 7/10000, Avg Reward: 711.08, Explained Var: 0.00
Episode 8/10000, Avg Reward: 547.91, Explained Var: -0.00
Episode 9/10000, Avg Reward: 395.84, Explained Var: -0.00
Episode 10/10000, Avg Reward: 353.61, Explained Var: -0.00
Episode 11/10000, Avg Reward: 382.71, Explained Var: -0.00
Episode 12/10000, Avg Reward: 389.64, Explained Var: 0.00
Episode 13/10000, Avg Reward: 343.16, Explained Var: -0.00
Episode 14/10000, Avg Reward: 213.29, Explained Var: -0.00
Episode 15/10000, Avg Reward: 262.92, Explained Var: 0.00
Episode 16/10000, Avg Reward: 996.61, Explained Var: -0.00
Episode 17/10000, Avg Reward: 275.12, Explained Var: -0.00
Episode 18/10000, Avg Reward: 400.20, Explained Var: 0.00
Episode 19/10000, Avg Reward: 321.12, Explained Var: -0.00
Episode 20/10000, Avg Reward: 528.95, Explained Var: -0.00
Episode 21/10000, Avg Reward: 445.81, Explained Var: -0.00
Episode 22/10000, Avg Reward: 477.41, Explained Var: -0.00
Episode 23/10000, Avg Reward: 860.22, Explained Var: -0.00
Episode 24/10000, Avg Reward: 809.83, Explained Var: -0.00
Episode 25/10000, Avg Reward: 292.82, Explained Var: 0.00
Episode 26/10000, Avg Reward: 478.55, Explained Var: -0.00
Episode 27/10000, Avg Reward: 446.70, Explained Var: -0.00
Episode 28/10000, Avg Reward: 639.44, Explained Var: -0.00
Episode 29/10000, Avg Reward: 266.22, Explained Var: -0.00
Episode 30/10000, Avg Reward: 146.51, Explained Var: -0.00
Episode 31/10000, Avg Reward: 316.93, Explained Var: -0.00
Episode 32/10000, Avg Reward: 406.10, Explained Var: -0.00
Episode 33/10000, Avg Reward: 195.21, Explained Var: -0.00
Episode 34/10000, Avg Reward: 581.12, Explained Var: -0.00
Episode 35/10000, Avg Reward: 933.11, Explained Var: -0.00
Episode 36/10000, Avg Reward: 347.65, Explained Var: -0.00
Episode 37/10000, Avg Reward: 1133.68, Explained Var: -0.00
Episode 38/10000, Avg Reward: 383.25, Explained Var: -0.00
Episode 39/10000, Avg Reward: 355.05, Explained Var: -0.00
