Episode 1/10000, Avg Reward: 499.43, Explained Var: 0.00
Episode 2/10000, Avg Reward: 384.41, Explained Var: -0.00
Episode 3/10000, Avg Reward: 104.98, Explained Var: -0.00
Episode 4/10000, Avg Reward: 446.94, Explained Var: -0.00
Episode 5/10000, Avg Reward: 116.58, Explained Var: 0.00
Episode 6/10000, Avg Reward: 634.79, Explained Var: 0.00
Episode 7/10000, Avg Reward: 410.84, Explained Var: -0.00
Episode 8/10000, Avg Reward: 382.71, Explained Var: 0.00
Episode 9/10000, Avg Reward: 72.65, Explained Var: -0.00
Episode 10/10000, Avg Reward: 498.73, Explained Var: -0.00
Episode 11/10000, Avg Reward: 359.09, Explained Var: -0.00
Episode 12/10000, Avg Reward: 517.26, Explained Var: -0.00
Episode 13/10000, Avg Reward: 766.63, Explained Var: -0.00
Episode 14/10000, Avg Reward: 355.14, Explained Var: -0.00
Episode 15/10000, Avg Reward: 507.59, Explained Var: -0.00
Episode 16/10000, Avg Reward: 197.58, Explained Var: -0.00
Episode 17/10000, Avg Reward: 268.78, Explained Var: -0.00
Episode 18/10000, Avg Reward: 103.53, Explained Var: -0.00
Episode 19/10000, Avg Reward: 790.75, Explained Var: -0.00
Episode 20/10000, Avg Reward: 634.71, Explained Var: -0.00
Episode 21/10000, Avg Reward: 406.11, Explained Var: -0.00
Episode 22/10000, Avg Reward: 134.35, Explained Var: -0.00
Episode 23/10000, Avg Reward: 1122.00, Explained Var: -0.00
Episode 24/10000, Avg Reward: 558.95, Explained Var: -0.00
Episode 25/10000, Avg Reward: 827.81, Explained Var: -0.00
Episode 26/10000, Avg Reward: 575.57, Explained Var: -0.00
Episode 27/10000, Avg Reward: 380.59, Explained Var: -0.00
Episode 28/10000, Avg Reward: 94.84, Explained Var: -0.00
Episode 29/10000, Avg Reward: 174.80, Explained Var: -0.00
Episode 30/10000, Avg Reward: 153.40, Explained Var: -0.00
Episode 31/10000, Avg Reward: 271.69, Explained Var: -0.00
Episode 32/10000, Avg Reward: 584.72, Explained Var: -0.00
Episode 33/10000, Avg Reward: 773.27, Explained Var: -0.00
Episode 34/10000, Avg Reward: 730.41, Explained Var: -0.00
Episode 35/10000, Avg Reward: 447.98, Explained Var: -0.00
Episode 36/10000, Avg Reward: 172.26, Explained Var: -0.00
Episode 37/10000, Avg Reward: 382.17, Explained Var: -0.00
Episode 38/10000, Avg Reward: 287.99, Explained Var: -0.00
Episode 39/10000, Avg Reward: 417.27, Explained Var: -0.00
Episode 40/10000, Avg Reward: 1215.00, Explained Var: -0.00
Episode 41/10000, Avg Reward: 394.04, Explained Var: -0.00
Episode 42/10000, Avg Reward: 660.69, Explained Var: -0.00
Episode 43/10000, Avg Reward: 219.98, Explained Var: -0.00
Episode 44/10000, Avg Reward: 174.35, Explained Var: -0.00
Episode 45/10000, Avg Reward: 491.47, Explained Var: -0.00
Episode 46/10000, Avg Reward: 429.11, Explained Var: -0.00
Episode 47/10000, Avg Reward: 750.50, Explained Var: 0.00
Episode 48/10000, Avg Reward: 556.30, Explained Var: -0.00
Episode 49/10000, Avg Reward: 213.25, Explained Var: -0.00
Episode 50/10000, Avg Reward: 173.62, Explained Var: -0.00
Episode 51/10000, Avg Reward: 741.91, Explained Var: -0.00
Episode 52/10000, Avg Reward: 381.54, Explained Var: -0.00
Episode 53/10000, Avg Reward: 310.46, Explained Var: -0.00
Episode 54/10000, Avg Reward: 317.70, Explained Var: -0.00
Episode 55/10000, Avg Reward: 641.27, Explained Var: -0.00
Episode 56/10000, Avg Reward: 763.67, Explained Var: 0.00
Episode 57/10000, Avg Reward: 399.80, Explained Var: -0.00
Episode 58/10000, Avg Reward: 715.17, Explained Var: -0.00
Episode 59/10000, Avg Reward: 259.79, Explained Var: -0.00
Episode 60/10000, Avg Reward: 411.90, Explained Var: -0.00
Episode 61/10000, Avg Reward: 455.18, Explained Var: -0.00
Episode 62/10000, Avg Reward: 429.83, Explained Var: -0.00
Episode 63/10000, Avg Reward: 712.65, Explained Var: -0.00
Episode 64/10000, Avg Reward: 1153.39, Explained Var: -0.00
Episode 65/10000, Avg Reward: 728.49, Explained Var: -0.00
Episode 66/10000, Avg Reward: 173.30, Explained Var: -0.00
Episode 67/10000, Avg Reward: 107.15, Explained Var: -0.00
Episode 68/10000, Avg Reward: 714.53, Explained Var: -0.00
Episode 69/10000, Avg Reward: 339.57, Explained Var: -0.00
Episode 70/10000, Avg Reward: 297.86, Explained Var: -0.00
Episode 71/10000, Avg Reward: 653.17, Explained Var: -0.00
Episode 72/10000, Avg Reward: 182.73, Explained Var: -0.00
Episode 73/10000, Avg Reward: 891.50, Explained Var: 0.00
Episode 74/10000, Avg Reward: 639.72, Explained Var: 0.00
Episode 75/10000, Avg Reward: 174.79, Explained Var: 0.00
Episode 76/10000, Avg Reward: 198.91, Explained Var: -0.00
Episode 77/10000, Avg Reward: 493.10, Explained Var: 0.00
Episode 78/10000, Avg Reward: 761.53, Explained Var: 0.00
Episode 79/10000, Avg Reward: 419.51, Explained Var: 0.00
Episode 80/10000, Avg Reward: 223.27, Explained Var: 0.00
Episode 81/10000, Avg Reward: 388.74, Explained Var: 0.00
Episode 82/10000, Avg Reward: 785.27, Explained Var: -0.00
Episode 83/10000, Avg Reward: 743.30, Explained Var: -0.00
Episode 84/10000, Avg Reward: 575.34, Explained Var: 0.00
Episode 85/10000, Avg Reward: 913.80, Explained Var: 0.00
Episode 86/10000, Avg Reward: 428.28, Explained Var: 0.00
Episode 87/10000, Avg Reward: 474.17, Explained Var: -0.00
Episode 88/10000, Avg Reward: 712.97, Explained Var: 0.00
Episode 89/10000, Avg Reward: 660.82, Explained Var: 0.00
Episode 90/10000, Avg Reward: 661.23, Explained Var: -0.00
Episode 91/10000, Avg Reward: 321.75, Explained Var: -0.00
Episode 92/10000, Avg Reward: 138.27, Explained Var: 0.00
Episode 93/10000, Avg Reward: 447.45, Explained Var: 0.00
Episode 94/10000, Avg Reward: 563.49, Explained Var: -0.00
Episode 95/10000, Avg Reward: 963.99, Explained Var: 0.00
Episode 96/10000, Avg Reward: 273.48, Explained Var: 0.00
Episode 97/10000, Avg Reward: 463.64, Explained Var: 0.00
Episode 98/10000, Avg Reward: 719.69, Explained Var: -0.00
Episode 99/10000, Avg Reward: 431.97, Explained Var: 0.00
Episode 100/10000, Avg Reward: 1076.64, Explained Var: -0.00
Episode 101/10000, Avg Reward: 938.82, Explained Var: 0.00
Episode 102/10000, Avg Reward: 128.33, Explained Var: -0.00
Episode 103/10000, Avg Reward: 570.18, Explained Var: 0.00
Episode 104/10000, Avg Reward: 177.54, Explained Var: -0.00
Episode 105/10000, Avg Reward: 431.64, Explained Var: -0.00
Episode 106/10000, Avg Reward: 135.52, Explained Var: 0.00
Episode 107/10000, Avg Reward: 306.87, Explained Var: 0.00
Episode 108/10000, Avg Reward: 630.57, Explained Var: 0.00
Episode 109/10000, Avg Reward: 397.51, Explained Var: 0.00
Episode 110/10000, Avg Reward: 1273.80, Explained Var: -0.00
Episode 111/10000, Avg Reward: 444.91, Explained Var: 0.00
Episode 112/10000, Avg Reward: 107.37, Explained Var: 0.00
Episode 113/10000, Avg Reward: 584.41, Explained Var: -0.00
Episode 114/10000, Avg Reward: 377.55, Explained Var: 0.00
Episode 115/10000, Avg Reward: 411.15, Explained Var: 0.00
Episode 116/10000, Avg Reward: 712.26, Explained Var: -0.00
Episode 117/10000, Avg Reward: 272.14, Explained Var: 0.00
Episode 118/10000, Avg Reward: 379.17, Explained Var: 0.00
Episode 119/10000, Avg Reward: 276.25, Explained Var: 0.00
Episode 120/10000, Avg Reward: 136.54, Explained Var: 0.00
Episode 121/10000, Avg Reward: 744.32, Explained Var: 0.00
Episode 122/10000, Avg Reward: 89.31, Explained Var: 0.01
Episode 123/10000, Avg Reward: 801.89, Explained Var: 0.00
Episode 124/10000, Avg Reward: 589.05, Explained Var: 0.00
Episode 125/10000, Avg Reward: 1067.13, Explained Var: 0.00
Episode 126/10000, Avg Reward: 671.79, Explained Var: 0.00
Episode 127/10000, Avg Reward: 395.12, Explained Var: 0.00
Episode 128/10000, Avg Reward: 414.88, Explained Var: 0.00
Episode 129/10000, Avg Reward: 426.79, Explained Var: 0.00
Episode 130/10000, Avg Reward: 639.90, Explained Var: 0.00
Episode 131/10000, Avg Reward: 765.44, Explained Var: 0.00
Episode 132/10000, Avg Reward: 1002.15, Explained Var: 0.00
Episode 133/10000, Avg Reward: 132.44, Explained Var: 0.01
Episode 134/10000, Avg Reward: 507.30, Explained Var: 0.00
Episode 135/10000, Avg Reward: 401.92, Explained Var: 0.00
Episode 136/10000, Avg Reward: 1079.51, Explained Var: 0.00
Episode 137/10000, Avg Reward: 1002.92, Explained Var: 0.00
Episode 138/10000, Avg Reward: 516.06, Explained Var: 0.00
Episode 139/10000, Avg Reward: 429.06, Explained Var: 0.00
Episode 140/10000, Avg Reward: 419.98, Explained Var: 0.00
Episode 141/10000, Avg Reward: 493.85, Explained Var: 0.00
Episode 142/10000, Avg Reward: 265.00, Explained Var: 0.01
Episode 143/10000, Avg Reward: 105.57, Explained Var: 0.01
Episode 144/10000, Avg Reward: 357.63, Explained Var: 0.00
Episode 145/10000, Avg Reward: 892.88, Explained Var: 0.00
Episode 146/10000, Avg Reward: 138.23, Explained Var: 0.00
Episode 147/10000, Avg Reward: 92.37, Explained Var: 0.01
Episode 148/10000, Avg Reward: 135.42, Explained Var: 0.01
Episode 149/10000, Avg Reward: 259.23, Explained Var: 0.01
Episode 150/10000, Avg Reward: 167.38, Explained Var: 0.01
Episode 151/10000, Avg Reward: 1138.76, Explained Var: 0.00
Episode 152/10000, Avg Reward: 649.52, Explained Var: 0.00
Episode 153/10000, Avg Reward: 724.01, Explained Var: 0.00
Episode 154/10000, Avg Reward: 148.79, Explained Var: 0.01
Episode 155/10000, Avg Reward: 365.47, Explained Var: 0.00
Episode 156/10000, Avg Reward: 712.03, Explained Var: 0.00
Episode 157/10000, Avg Reward: 616.39, Explained Var: 0.00
Episode 158/10000, Avg Reward: 111.33, Explained Var: 0.01
Episode 159/10000, Avg Reward: 431.74, Explained Var: 0.00
Episode 160/10000, Avg Reward: 385.56, Explained Var: 0.00
Episode 161/10000, Avg Reward: 218.09, Explained Var: 0.01
Episode 162/10000, Avg Reward: 139.15, Explained Var: 0.00
Episode 163/10000, Avg Reward: 415.93, Explained Var: 0.00
Episode 164/10000, Avg Reward: 820.58, Explained Var: 0.00
Episode 165/10000, Avg Reward: 177.92, Explained Var: 0.02
Episode 166/10000, Avg Reward: 427.33, Explained Var: 0.01
Episode 167/10000, Avg Reward: 423.04, Explained Var: 0.00
Episode 168/10000, Avg Reward: 461.99, Explained Var: 0.00
Episode 169/10000, Avg Reward: 98.23, Explained Var: 0.02
Episode 170/10000, Avg Reward: 523.95, Explained Var: 0.01
Episode 171/10000, Avg Reward: 571.65, Explained Var: 0.01
Episode 172/10000, Avg Reward: 271.08, Explained Var: 0.01
Episode 173/10000, Avg Reward: 506.71, Explained Var: 0.00
Episode 174/10000, Avg Reward: 353.69, Explained Var: 0.01
Episode 175/10000, Avg Reward: 1000.52, Explained Var: 0.00
Episode 176/10000, Avg Reward: 561.24, Explained Var: 0.00
Episode 177/10000, Avg Reward: 197.58, Explained Var: 0.01
Episode 178/10000, Avg Reward: 138.36, Explained Var: 0.00
Episode 179/10000, Avg Reward: 638.25, Explained Var: 0.00
Episode 180/10000, Avg Reward: 437.36, Explained Var: 0.00
Episode 181/10000, Avg Reward: 409.19, Explained Var: 0.01
Episode 182/10000, Avg Reward: 150.64, Explained Var: 0.03
Episode 183/10000, Avg Reward: 266.48, Explained Var: 0.01
Episode 184/10000, Avg Reward: 331.41, Explained Var: 0.01
Episode 185/10000, Avg Reward: 492.29, Explained Var: 0.01
Episode 186/10000, Avg Reward: 1266.28, Explained Var: 0.00
Episode 187/10000, Avg Reward: 156.04, Explained Var: 0.02
Episode 188/10000, Avg Reward: 226.99, Explained Var: 0.01
Episode 189/10000, Avg Reward: 476.79, Explained Var: 0.01
Episode 190/10000, Avg Reward: 714.28, Explained Var: 0.00
Episode 191/10000, Avg Reward: 43.12, Explained Var: 0.04
Episode 192/10000, Avg Reward: 825.33, Explained Var: 0.00
Episode 193/10000, Avg Reward: 497.72, Explained Var: 0.01
Episode 194/10000, Avg Reward: 636.29, Explained Var: 0.00
Episode 195/10000, Avg Reward: 460.35, Explained Var: 0.00
Episode 196/10000, Avg Reward: 49.28, Explained Var: 0.06
Episode 197/10000, Avg Reward: 572.84, Explained Var: 0.00
Episode 198/10000, Avg Reward: 790.83, Explained Var: 0.01
Episode 199/10000, Avg Reward: 1020.23, Explained Var: 0.00
Episode 200/10000, Avg Reward: 697.29, Explained Var: 0.00
Episode 201/10000, Avg Reward: 353.70, Explained Var: 0.01
Episode 202/10000, Avg Reward: 297.19, Explained Var: 0.01
Episode 203/10000, Avg Reward: 499.96, Explained Var: 0.01
Episode 204/10000, Avg Reward: 268.23, Explained Var: 0.01
Episode 205/10000, Avg Reward: 117.20, Explained Var: 0.03
Episode 206/10000, Avg Reward: 1123.09, Explained Var: 0.00
Episode 207/10000, Avg Reward: 260.18, Explained Var: 0.01
Episode 208/10000, Avg Reward: 820.05, Explained Var: 0.00
Episode 209/10000, Avg Reward: 491.11, Explained Var: 0.01
Episode 210/10000, Avg Reward: 659.90, Explained Var: 0.01
Episode 211/10000, Avg Reward: 710.06, Explained Var: 0.00
Episode 212/10000, Avg Reward: 269.66, Explained Var: 0.01
Episode 213/10000, Avg Reward: 1019.61, Explained Var: 0.00
Episode 214/10000, Avg Reward: 603.68, Explained Var: 0.00
Episode 215/10000, Avg Reward: 628.70, Explained Var: 0.01
Episode 216/10000, Avg Reward: 781.25, Explained Var: 0.00
Episode 217/10000, Avg Reward: 376.73, Explained Var: 0.01
Episode 218/10000, Avg Reward: 413.15, Explained Var: 0.01
Episode 219/10000, Avg Reward: 441.49, Explained Var: 0.01
Episode 220/10000, Avg Reward: 390.11, Explained Var: 0.01
Episode 221/10000, Avg Reward: 394.53, Explained Var: 0.01
Episode 222/10000, Avg Reward: 174.71, Explained Var: 0.01
Episode 223/10000, Avg Reward: 477.46, Explained Var: 0.01
Episode 224/10000, Avg Reward: 384.34, Explained Var: 0.01
Episode 225/10000, Avg Reward: 634.06, Explained Var: 0.00
Episode 226/10000, Avg Reward: 257.15, Explained Var: 0.01
Episode 227/10000, Avg Reward: 634.22, Explained Var: 0.01
Episode 228/10000, Avg Reward: 412.27, Explained Var: 0.01
Episode 229/10000, Avg Reward: 138.56, Explained Var: 0.01
Episode 230/10000, Avg Reward: 490.02, Explained Var: 0.01
Episode 231/10000, Avg Reward: 424.32, Explained Var: 0.01
Episode 232/10000, Avg Reward: 178.00, Explained Var: 0.02
Episode 233/10000, Avg Reward: 822.85, Explained Var: 0.01
Episode 234/10000, Avg Reward: 321.87, Explained Var: 0.01
Episode 235/10000, Avg Reward: 276.20, Explained Var: 0.02
Episode 236/10000, Avg Reward: 479.80, Explained Var: 0.01
Episode 237/10000, Avg Reward: 414.99, Explained Var: 0.01
Episode 238/10000, Avg Reward: 1001.40, Explained Var: 0.00
Episode 239/10000, Avg Reward: 693.21, Explained Var: 0.01
Episode 240/10000, Avg Reward: 223.78, Explained Var: 0.02
Episode 241/10000, Avg Reward: 262.12, Explained Var: 0.01
Episode 242/10000, Avg Reward: 723.00, Explained Var: 0.01
Episode 243/10000, Avg Reward: 224.23, Explained Var: 0.02
Episode 244/10000, Avg Reward: 173.92, Explained Var: 0.02
Episode 245/10000, Avg Reward: 419.75, Explained Var: 0.02
