Episode 1/10000, Avg Reward: 275.90, Explained Var: 0.00
Episode 2/10000, Avg Reward: 647.95, Explained Var: 0.00
Episode 3/10000, Avg Reward: 132.27, Explained Var: 0.00
Episode 4/10000, Avg Reward: 441.32, Explained Var: -0.00
Episode 5/10000, Avg Reward: 356.22, Explained Var: -0.00
Episode 6/10000, Avg Reward: 527.32, Explained Var: 0.00
Episode 7/10000, Avg Reward: 381.69, Explained Var: 0.00
Episode 8/10000, Avg Reward: 901.58, Explained Var: -0.00
Episode 9/10000, Avg Reward: 464.46, Explained Var: -0.00
Episode 10/10000, Avg Reward: 827.78, Explained Var: 0.00
Episode 11/10000, Avg Reward: 123.88, Explained Var: -0.00
Episode 12/10000, Avg Reward: 788.73, Explained Var: -0.00
Episode 13/10000, Avg Reward: 427.21, Explained Var: -0.00
Episode 14/10000, Avg Reward: 267.31, Explained Var: 0.00
Episode 15/10000, Avg Reward: 368.40, Explained Var: -0.00
Episode 16/10000, Avg Reward: 99.09, Explained Var: -0.00
Episode 17/10000, Avg Reward: 414.15, Explained Var: -0.00
Episode 18/10000, Avg Reward: 953.83, Explained Var: -0.00
Episode 19/10000, Avg Reward: 513.96, Explained Var: -0.00
Episode 20/10000, Avg Reward: 623.13, Explained Var: -0.00
Episode 21/10000, Avg Reward: 128.03, Explained Var: -0.00
Episode 22/10000, Avg Reward: 422.99, Explained Var: -0.00
Episode 23/10000, Avg Reward: 136.97, Explained Var: -0.00
Episode 24/10000, Avg Reward: 254.23, Explained Var: -0.00
Episode 25/10000, Avg Reward: 1226.63, Explained Var: -0.00
Episode 26/10000, Avg Reward: 637.02, Explained Var: -0.00
Episode 27/10000, Avg Reward: 136.01, Explained Var: -0.00
Episode 28/10000, Avg Reward: 493.38, Explained Var: -0.00
Episode 29/10000, Avg Reward: 353.99, Explained Var: 0.00
Episode 30/10000, Avg Reward: 660.90, Explained Var: -0.00
Episode 31/10000, Avg Reward: 509.66, Explained Var: -0.00
Episode 32/10000, Avg Reward: 493.18, Explained Var: -0.00
Episode 33/10000, Avg Reward: 790.70, Explained Var: -0.00
Episode 34/10000, Avg Reward: 268.14, Explained Var: -0.00
Episode 35/10000, Avg Reward: 94.10, Explained Var: -0.00
Episode 36/10000, Avg Reward: 586.09, Explained Var: -0.00
Episode 37/10000, Avg Reward: 1108.48, Explained Var: -0.00
Episode 38/10000, Avg Reward: 335.83, Explained Var: -0.00
Episode 39/10000, Avg Reward: 381.11, Explained Var: -0.00
Episode 40/10000, Avg Reward: 491.48, Explained Var: -0.00
Episode 41/10000, Avg Reward: 133.84, Explained Var: -0.00
Episode 42/10000, Avg Reward: 119.91, Explained Var: -0.00
Episode 43/10000, Avg Reward: 1254.82, Explained Var: -0.00
Episode 44/10000, Avg Reward: 1139.00, Explained Var: 0.00
Episode 45/10000, Avg Reward: 936.37, Explained Var: -0.00
Episode 46/10000, Avg Reward: 405.05, Explained Var: -0.00
Episode 47/10000, Avg Reward: 388.35, Explained Var: -0.00
Episode 48/10000, Avg Reward: 723.34, Explained Var: -0.00
Episode 49/10000, Avg Reward: 354.22, Explained Var: -0.00
Episode 50/10000, Avg Reward: 744.73, Explained Var: -0.00
Episode 51/10000, Avg Reward: 474.61, Explained Var: -0.00
Episode 52/10000, Avg Reward: 173.51, Explained Var: -0.00
Episode 53/10000, Avg Reward: 353.72, Explained Var: -0.00
Episode 54/10000, Avg Reward: 98.27, Explained Var: -0.00
Episode 55/10000, Avg Reward: 90.18, Explained Var: -0.00
Episode 56/10000, Avg Reward: 224.91, Explained Var: -0.00
Episode 57/10000, Avg Reward: 260.83, Explained Var: -0.00
Episode 58/10000, Avg Reward: 627.90, Explained Var: 0.00
Episode 59/10000, Avg Reward: 451.58, Explained Var: 0.00
Episode 60/10000, Avg Reward: 505.56, Explained Var: 0.00
Episode 61/10000, Avg Reward: 424.53, Explained Var: -0.00
Episode 62/10000, Avg Reward: 316.16, Explained Var: 0.00
Episode 63/10000, Avg Reward: 998.33, Explained Var: -0.00
Episode 64/10000, Avg Reward: 430.22, Explained Var: 0.00
Episode 65/10000, Avg Reward: 456.30, Explained Var: -0.00
Episode 66/10000, Avg Reward: 859.83, Explained Var: 0.00
Episode 67/10000, Avg Reward: 309.20, Explained Var: -0.00
Episode 68/10000, Avg Reward: 786.92, Explained Var: 0.00
Episode 69/10000, Avg Reward: 118.83, Explained Var: -0.00
Episode 70/10000, Avg Reward: 221.51, Explained Var: -0.00
Episode 71/10000, Avg Reward: 350.59, Explained Var: -0.00
Episode 72/10000, Avg Reward: 464.73, Explained Var: 0.00
Episode 73/10000, Avg Reward: 760.43, Explained Var: 0.00
Episode 74/10000, Avg Reward: 140.18, Explained Var: -0.00
Episode 75/10000, Avg Reward: 304.95, Explained Var: -0.00
Episode 76/10000, Avg Reward: 505.25, Explained Var: 0.00
Episode 77/10000, Avg Reward: 136.48, Explained Var: -0.00
Episode 78/10000, Avg Reward: 996.12, Explained Var: 0.00
Episode 79/10000, Avg Reward: 499.07, Explained Var: 0.00
Episode 80/10000, Avg Reward: 175.60, Explained Var: -0.00
Episode 81/10000, Avg Reward: 173.89, Explained Var: -0.00
Episode 82/10000, Avg Reward: 694.60, Explained Var: 0.00
Episode 83/10000, Avg Reward: 100.21, Explained Var: -0.00
Episode 84/10000, Avg Reward: 174.64, Explained Var: -0.00
Episode 85/10000, Avg Reward: 126.82, Explained Var: 0.00
Episode 86/10000, Avg Reward: 357.14, Explained Var: 0.00
Episode 87/10000, Avg Reward: 175.14, Explained Var: 0.00
Episode 88/10000, Avg Reward: 451.05, Explained Var: 0.00
Episode 89/10000, Avg Reward: 389.62, Explained Var: 0.00
Episode 90/10000, Avg Reward: 1021.69, Explained Var: 0.00
Episode 91/10000, Avg Reward: 294.47, Explained Var: 0.00
Episode 92/10000, Avg Reward: 176.37, Explained Var: 0.00
Episode 93/10000, Avg Reward: 583.24, Explained Var: 0.00
Episode 94/10000, Avg Reward: 748.82, Explained Var: 0.00
Episode 95/10000, Avg Reward: 942.42, Explained Var: 0.00
Episode 96/10000, Avg Reward: 637.08, Explained Var: -0.00
Episode 97/10000, Avg Reward: 129.90, Explained Var: 0.00
Episode 98/10000, Avg Reward: 416.86, Explained Var: 0.00
Episode 99/10000, Avg Reward: 790.55, Explained Var: 0.00
Episode 100/10000, Avg Reward: 731.53, Explained Var: 0.00
Episode 101/10000, Avg Reward: 269.73, Explained Var: 0.00
Episode 102/10000, Avg Reward: 120.42, Explained Var: 0.02
Episode 103/10000, Avg Reward: 137.31, Explained Var: 0.00
Episode 104/10000, Avg Reward: 393.48, Explained Var: 0.00
Episode 105/10000, Avg Reward: 806.26, Explained Var: 0.00
Episode 106/10000, Avg Reward: 988.38, Explained Var: 0.00
Episode 107/10000, Avg Reward: 711.75, Explained Var: 0.00
Episode 108/10000, Avg Reward: 1138.56, Explained Var: -0.00
Episode 109/10000, Avg Reward: 291.22, Explained Var: 0.00
Episode 110/10000, Avg Reward: 224.53, Explained Var: 0.00
Episode 111/10000, Avg Reward: 738.46, Explained Var: 0.00
Episode 112/10000, Avg Reward: 359.93, Explained Var: 0.00
Episode 113/10000, Avg Reward: 716.77, Explained Var: 0.00
Episode 114/10000, Avg Reward: 638.20, Explained Var: 0.00
Episode 115/10000, Avg Reward: 291.27, Explained Var: 0.00
Episode 116/10000, Avg Reward: 135.23, Explained Var: -0.00
Episode 117/10000, Avg Reward: 1179.68, Explained Var: 0.00
Episode 118/10000, Avg Reward: 466.49, Explained Var: 0.00
Episode 119/10000, Avg Reward: 864.80, Explained Var: 0.00
Episode 120/10000, Avg Reward: 156.71, Explained Var: -0.00
Episode 121/10000, Avg Reward: 108.09, Explained Var: 0.00
Episode 122/10000, Avg Reward: 277.40, Explained Var: 0.00
Episode 123/10000, Avg Reward: 357.14, Explained Var: 0.00
Episode 124/10000, Avg Reward: 440.06, Explained Var: 0.00
Episode 125/10000, Avg Reward: 47.23, Explained Var: 0.01
Episode 126/10000, Avg Reward: 361.23, Explained Var: 0.00
Episode 127/10000, Avg Reward: 223.66, Explained Var: 0.00
Episode 128/10000, Avg Reward: 766.62, Explained Var: 0.00
Episode 129/10000, Avg Reward: 410.47, Explained Var: 0.00
Episode 130/10000, Avg Reward: 480.89, Explained Var: 0.01
Episode 131/10000, Avg Reward: 801.92, Explained Var: 0.00
