Episode 1/10000, Avg Reward: 437730.34, Explained Var: 0.00
Episode 2/10000, Avg Reward: 1306541.00, Explained Var: 0.00
Episode 3/10000, Avg Reward: 1305458.62, Explained Var: 0.00
Episode 4/10000, Avg Reward: 1305314.62, Explained Var: 0.00
Episode 5/10000, Avg Reward: 840130.56, Explained Var: 0.00
Episode 6/10000, Avg Reward: 908675.94, Explained Var: 0.00
Episode 7/10000, Avg Reward: 275150.03, Explained Var: 0.00
Episode 8/10000, Avg Reward: 921604.69, Explained Var: 0.00
Episode 9/10000, Avg Reward: 3188089.25, Explained Var: 0.00
Episode 10/10000, Avg Reward: 412681.66, Explained Var: 0.00
Episode 11/10000, Avg Reward: 335849.75, Explained Var: 0.00
Episode 12/10000, Avg Reward: 466586.62, Explained Var: 0.00
Episode 13/10000, Avg Reward: 201112.83, Explained Var: 0.00
Episode 14/10000, Avg Reward: 412681.66, Explained Var: 0.00
Episode 15/10000, Avg Reward: 772493.75, Explained Var: 0.00
Episode 16/10000, Avg Reward: 3117816.00, Explained Var: 0.00
Episode 17/10000, Avg Reward: 1163419.50, Explained Var: 0.00
Episode 18/10000, Avg Reward: 1189112.62, Explained Var: 0.00
Episode 19/10000, Avg Reward: 842710.00, Explained Var: 0.00
Episode 20/10000, Avg Reward: 331905.09, Explained Var: 0.00
Episode 21/10000, Avg Reward: 833309.19, Explained Var: 0.00
Episode 22/10000, Avg Reward: 2128482.00, Explained Var: 0.00
Episode 23/10000, Avg Reward: 4455074.00, Explained Var: 0.00
Episode 24/10000, Avg Reward: 1306826.38, Explained Var: 0.00
Episode 25/10000, Avg Reward: 1305777.38, Explained Var: 0.00
Episode 26/10000, Avg Reward: 1958107.50, Explained Var: 0.00
Episode 27/10000, Avg Reward: 596594.44, Explained Var: 0.00
Episode 28/10000, Avg Reward: 1866143.38, Explained Var: 0.00
Episode 29/10000, Avg Reward: 896313.75, Explained Var: 0.00
Episode 30/10000, Avg Reward: 2427778.25, Explained Var: 0.00
Episode 31/10000, Avg Reward: 2120501.00, Explained Var: 0.00
Episode 32/10000, Avg Reward: 4425903.50, Explained Var: 0.00
Episode 33/10000, Avg Reward: 5303982.50, Explained Var: 0.00
Episode 34/10000, Avg Reward: 1486890.12, Explained Var: 0.00
Episode 35/10000, Avg Reward: 349547.16, Explained Var: 0.00
Episode 36/10000, Avg Reward: 2122057.25, Explained Var: 0.00
